products_options_values_id,language_id,products_options_values_name,image,products_options_values_image,products_options_values_to_products_options_id,products_options_id,products_options_name,products_options_sort_order,products_options_image,products_options_type
49,1,Άγγελος,,,50,7,Αρχάγγελοι,0,,0
36,1,Αθανάσιος,,,37,4,Άγιοι,0,,0
47,1,Αικατερίνη,,,48,3,Άγιες,0,,0
24,1,Ακινδύνοι,,,24,4,Άγιοι,0,,0
46,1,Αντύπας,,,47,4,Άγιοι,0,,0
35,1,Αντώνιος,,,36,4,Άγιοι,0,,0
19,1,"Ασημένια εικόνα",,,19,6,Χριστός,0,,0
45,1,Βαρβάρα,,,46,3,Άγιες,0,,0
61,1,Βηθλεεμίτισσα,,,62,5,Παναγία,0,,0
7,1,"Γερόντισσας του Αγίου Όρους",,,7,5,Παναγία,0,,0
33,1,Γεώργιος,,,34,4,Άγιοι,0,,0
20,1,Γιάτρισσα,,,20,5,Παναγία,0,,0
17,1,Γλυκοφιλούσα,,,17,5,Παναγία,0,,0
21,1,Γοργοϋπήκοο,,,21,5,Παναγία,0,,0
10,1,"Γυάλινο Εικονάκι",,,10,3,Άγιες,0,,0
11,1,"Γυάλινο Εικονάκι",,,11,4,Άγιοι,0,,0
32,1,Δημήτριος,,,33,4,Άγιοι,0,,0
13,1,"Εικόνα με την Παναγία",,,13,5,Παναγία,0,,0
12,1,"Εικόνα του Χριστού",,,12,6,Χριστός,0,,0
8,1,"Εικονάκι Ξύλινο",,,8,4,Άγιοι,0,,0
9,1,"Εικονάκι Ξύλινο",,,9,3,Άγιες,0,,0
53,1,Ειρήνη,,,54,3,Άγιες,0,,0
27,1,Ελένη,,,27,3,Άγιες,0,,0
54,1,Ελευθερώτρια,,,55,5,Παναγία,0,,0
26,1,Ελισάβετ,,,26,3,Άγιες,0,,0
51,1,Ευγενία,,,52,3,Άγιες,0,,0
25,1,"Ζαχαρία και Ελισάβετ",,,25,4,Άγιοι,0,,0
4,1,"Η Αμόλυντος",,,4,5,Παναγία,0,,0
6,1,"Η Επτάσπαθη",,,6,5,Παναγία,0,,0
52,1,"Η Φοβερά Προστασία",,,53,5,Παναγία,0,,0
16,1,Ιεροσολυμίτισσα,,,16,5,Παναγία,0,,0
23,1,"Ιούδας ο Θαδαίος",,,23,4,Άγιοι,0,,0
42,1,"Ιωάννης ο Πρόδρομος",,,43,4,Άγιοι,0,,0
55,1,Κεχαριτωμένη,,,56,5,Παναγία,0,,0
44,1,Κυριακή,,,45,3,Άγιες,0,,0
28,1,"Κωνσταντίνο και Ελένη",,,29,4,Άγιοι,0,,0
18,1,"Λουκάς ο Ιατρός",,,18,4,Άγιοι,0,,0
56,1,"Μαρία η Μαγδαληνή",,,57,3,Άγιες,0,,0
15,1,"Μυστικός Δείπνος",,,15,6,Χριστός,0,,0
38,1,Νεκτάριος,,,39,4,Άγιοι,0,,0
34,1,Νικόλαος,,,35,4,Άγιοι,0,,0
5,1,Παΐσιος,,,5,4,Άγιοι,0,,0
57,1,Παραμυθία,,,58,5,Παναγία,0,,0
43,1,Παρασκευή,,,44,3,Άγιες,0,,0
58,1,Πορταΐτισσα,,,59,5,Παναγία,0,,0
22,1,Πορφύριος,,,22,4,Άγιοι,0,,0
1,1,Ραφαήλ,,,1,4,Άγιοι,0,,0
2,1,"Ραφαήλ - Νικόλαος - Ειρήνη",,,2,4,Άγιοι,0,,0
39,1,Σπυρίδων,,,40,4,Άγιοι,0,,0
41,1,Στέφανος,,,42,4,Άγιοι,0,,0
31,1,Σωκράτης,,,32,4,Άγιοι,0,,0
50,1,Ταβιθά,,,51,3,Άγιες,0,,0
59,1,"Ταξιάρχη Μανταμάδου",,,60,7,Αρχάγγελοι,0,,0
40,1,Τριαντάφυλλος,,,41,4,Άγιοι,0,,0
30,1,Τρύφων,,,31,4,Άγιοι,0,,0
60,1,"Υπεραγία Θεοτόκον",,,61,5,Παναγία,0,,0
14,1,Υπομονή,,,14,3,Άγιες,0,,0
29,1,Φανούριος,,,30,4,Άγιοι,0,,0
37,1,Χαράλαμπος,,,38,4,Άγιοι,0,,0
